% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
655	1	0	49	0	28	4587	0	1	1	0
656	1	0	68	0	28	9422	0	1	1	0
658	1	0	16	0	28	9422	0	1	1	0
659	1	0	7	0	28	9422	0	1	1	0
661	1	0	45	0	28	9422	0	1	1	0
662	1	0	44	0	28	4587	0	1	0	0
662	1	0	52	0	28	4587	0	1	1	0
663	1	0	33	0	28	9422	0	1	1	0
664	1	0	42	0	28	4587	0	1	1	0
664	1	0	44	0	28	4587	0	1	0	0
665	1	0	32	0	28	9422	0	1	1	0
666	1	0	1	0	28	9422	0	1	1	0
667	1	0	12	0	28	9422	0	1	1	0
669	1	0	61	0	28	9422	0	1	1	0
670	1	0	58	0	28	4587	0	1	1	0
670	1	0	63	0	28	4587	0	1	0	0
671	1	0	59	0	28	9422	0	1	1	0
672	1	0	26	0	28	4587	0	1	1	0
672	1	0	66	0	28	4587	0	1	1	0
673	1	0	14	0	28	9422	0	1	1	0
675	1	0	15	0	28	4587	0	1	1	0
675	1	0	19	0	28	4587	0	1	0	0
676	1	0	4	0	28	4587	0	1	1	0
676	1	0	9	0	28	4587	0	1	0	0
677	1	0	10	0	28	4587	0	1	1	0
677	1	0	19	0	28	4587	0	1	0	0
678	1	0	29	0	28	9422	0	1	1	0
679	1	0	64	0	28	9422	0	1	1	0
683	1	0	22	0	28	4587	0	1	0	0
683	1	0	46	0	28	4587	0	1	1	0
685	1	0	8	0	28	9422	0	1	1	0
688	1	0	49	0	28	9422	0	1	1	0
689	1	0	45	0	28	4587	0	1	0	0
689	1	0	68	0	28	4587	0	1	1	0
690	1	0	28	0	28	4587	0	1	1	0
690	1	0	52	0	28	4587	0	1	0	0
691	1	0	16	0	28	3062	0	1	1	0
691	1	0	33	0	28	3062	0	1	0	0
691	1	0	45	0	28	3062	0	1	0	0
692	1	0	1	0	28	4587	0	1	1	0
692	1	0	52	0	28	4587	0	1	0	0
693	1	0	7	0	28	4587	0	1	1	0
693	1	0	33	0	28	4587	0	1	0	0
694	1	0	65	0	28	9422	0	1	1	0
698	1	0	11	0	28	9422	0	1	1	0
699	1	0	42	0	28	4587	0	1	1	0
699	1	0	61	0	28	4587	0	1	0	0
701	1	0	12	0	28	9422	0	1	1	0
702	1	0	32	0	28	9422	0	1	1	0
703	1	0	15	0	28	4587	0	1	0	0
703	1	0	44	0	28	4587	0	1	1	0
705	1	0	15	0	28	4587	0	1	0	0
705	1	0	58	0	28	4587	0	1	1	0
706	1	0	59	0	28	9422	0	1	1	0
707	1	0	14	0	28	9422	0	1	1	0
708	1	0	26	0	28	9422	0	1	1	0
709	1	0	63	0	28	9422	0	1	1	0
711	1	0	4	0	28	4587	0	1	1	0
711	1	0	46	0	28	4587	0	1	1	0
712	1	0	10	0	28	9422	0	1	1	0
713	1	0	29	0	28	4587	0	1	1	0
713	1	0	46	0	28	4587	0	1	0	0
714	1	0	64	0	28	9422	0	1	1	0
716	1	0	9	0	28	9422	0	1	1	0
717	1	0	19	0	28	9422	0	1	1	0
718	1	0	1	0	28	4587	0	1	1	0
718	1	0	28	0	28	4587	0	1	0	0
720	1	0	22	0	28	4587	0	1	1	0
720	1	0	28	0	28	4587	0	1	0	0
721	1	0	49	0	28	9422	0	1	1	0
722	1	0	68	0	28	9422	0	1	1	0
724	1	0	16	0	28	9422	0	1	1	0
725	1	0	7	0	28	9422	0	1	1	0
726	1	0	65	0	28	9422	0	1	1	0
727	1	0	45	0	28	9422	0	1	1	0
728	1	0	52	0	28	9422	0	1	1	0
729	1	0	33	0	28	9422	0	1	1	0
730	1	0	42	0	28	9422	0	1	1	0
731	1	0	8	0	28	4587	0	1	1	0
731	1	0	44	0	28	4587	0	1	0	0
732	1	0	32	0	28	9422	0	1	1	0
734	1	0	61	0	28	9422	0	1	1	0
735	1	0	12	0	28	9422	0	1	1	0
736	1	0	58	0	28	9422	0	1	1	0
737	1	0	59	0	28	4587	0	1	1	0
737	1	0	63	0	28	4587	0	1	0	0
738	1	0	27	0	28	9422	0	1	1	0
739	1	0	26	0	28	4587	0	1	1	0
739	1	0	63	0	28	4587	0	1	0	0
741	1	0	14	0	28	9422	0	1	1	0
742	1	0	15	0	28	9422	0	1	1	0
743	1	0	4	0	28	9422	0	1	1	0
744	1	0	9	0	28	4587	0	1	0	0
744	1	0	10	0	28	4587	0	1	1	0
745	1	0	19	0	28	4587	0	1	0	0
